User,Word,WordId,Language,Correct,Wrong,LastCorrect,LastWrong
JST,radio,es191c4e7,spanish,1,0,2026-03-01T22:46:14.233Z
JST,pasar,es1c5b0c1,spanish,1,0,2026-03-03T21:22:42.364Z
JST,feliz,es1db76a8,spanish,1,0,2026-03-31T20:25:25.907Z
JST,tirar,es1bd48e8,spanish,1,0,2026-03-31T20:25:27.638Z
JST,ellos,es1decfc1,spanish,1,0,2026-03-31T20:25:29.398Z
JST,morir,es17d78d0,spanish,1,0,2026-03-31T20:27:21.551Z
JST,vino,es1e5cc1b,spanish,1,0,2026-03-31T20:27:24.504Z
JST,que,es1ed688d,spanish,9,2,2026-04-04T12:09:15.157Z,2026-01-25T17:07:49.497Z
JST,los,es1414451,spanish,3,0,2026-03-31T20:28:28.793Z,
JST,siempre,es19b59c6,spanish,1,0,2026-03-31T20:28:30.270Z
JST,cuando,es151dc2e,spanish,3,0,2026-03-31T20:28:31.411Z,
JST,como,es1227610,spanish,4,0,2026-03-31T20:28:32.508Z,
JST,hoy,es100350c,spanish,1,0,2026-03-31T20:28:33.953Z
JST,un,es1f096ec,spanish,2,0,2026-03-31T20:28:35.077Z,
JST,pa',es1001588,spanish,1,0,2026-03-31T20:28:41.771Z
JST,pero,es13985f6,spanish,2,0,2026-03-31T20:28:43.239Z,
JST,ya,es1b2e6a5,spanish,3,0,2026-03-31T20:28:44.544Z,
JST,bien,es18c46ba,spanish,1,0,2026-03-31T20:28:48.242Z
JST,las,es12c4522,spanish,2,0,2026-03-31T20:28:50.340Z,
JST,y,es1642c26,spanish,4,1,2026-04-04T12:09:23.414Z,2026-01-25T17:07:51.473Z
JST,mi,es1001d19,spanish,1,0,2026-03-31T20:28:53.254Z
JST,si,es1c02649,spanish,2,0,2026-03-31T20:28:54.437Z,
JST,con,es13b85d4,spanish,2,0,2026-03-31T20:28:55.906Z,
JST,de,es1cb971a,spanish,2,0,2026-04-04T12:09:34.131Z,
JST,me,es18e86d4,spanish,4,0,2026-04-04T12:09:20.931Z,
JST,en,es1887ef7,spanish,2,0,2026-04-04T12:09:37.016Z,
JST,no,es192ffe1,spanish,4,0,2026-04-04T12:09:18.581Z,
JST,a,es161bd7d,spanish,3,0,2026-04-04T12:09:27.281Z,
JST,qué,es1002b3a,spanish,1,0,2026-03-31T20:29:09.573Z
JST,tú,es1000e3c,spanish,1,0,2026-03-31T20:29:11.160Z
